Company name,Amount (millions),Date,Industry,City,State,Lead Investor,Company description,Round Type
Roadsync,5.75,4/1/2020,Software,Atlanta,Georgia,Base10 Partners - Companyon Ventures - Hyde Park Venture Partners ,"RoadSync is a platform that accepts payments anytime, anywhere. We simplify fee collection, increase speed & security, and optimize business operations.",
Mutable,1.5,4/1/2020,Software,New York City,New York,Acequia Capital - Fly Ventures - Lunar Ventures - Momenta Ventures ,"Mutable's virtual cloud deployment solution delivers a faster, cheaper, greener and more secure internet.",
Olive,51,4/1/2020,Healthcare services,Columbus,Ohio,,"Olive automates healthcare’s most robotic processes, so your employees don’t have to. Let them focus on what matters most instead.",
Allset Technologies Inc,8.25,4/1/2020,Software,San Francisco,California,Andreessen Horowitz Llc - Greycroft - Inovo Venture Partners - Smrk Vc Fund ,"Allset focuses on the dine-in restaurant experience, enabling customers to book, order & pay for their lunch at local restaurants before arrival. ",
Patientpay,6.15,4/1/2020,Healthcare services,Durham,North Carolina,,"PatientPay creates patient payment solutions for patients, medical groups, hospitals and revenue cycle management groups that delivers a full suite of products and services designed for today’s healthcare needs.",
Enovix Corp,45,4/1/2020,Industrial and energy,Fremont,California,T J Rodgers - York Capital ,Enovix has built a next-generation lithium-ion battery that significantly increases energy density and maintains high cycle life.,
Vericool,19.1,4/1/2020,Industrial and energy,Livermore,California,Alpha Impact Investment Management - Ecosystem Integrity Fund - Id8 Investments - Radicle Impact ,"Vericool - Delivering very cool packaging that protects products, people and the planet.",
Etailz,5.2,4/2/2020,Retailing and distribution,Spokane,Washington,,We provide a better approach to marketplace growth. Equip your brand with our industry leading tech platform & expertise,
Orum,4,4/2/2020,Software,San Francisco,California,Neo - Unusual Ventures ,Orum provides an AI-sales platform that enables users to dial multiple numbers in parallel and identify humans when they answer. ,
Strivr Labs,30,4/1/2020,Software,Menlo Park,California,Alumni Ventures Group - Franklin Templeton - Georgian Partners - Greatpoint Ventures - Prologis Ventures ,"Founded in 2015, STRIVR Labs is the world leader in using virtual reality (VR) to train individuals and improve performance. STRIVR is used by the world's top organizations including professional sports teams and Fortune 100 companies. ",
Plum Lending,2,4/1/2020,Finance,San Francisco,California,Elliott Management Corp - Resolute Capital Partners - Soft Bank ,Plum is a financial technology company that combines data intelligence with financial expertise to modernize commercial real estate (“CRE”) lending. ,
Philter Labs,1,4/2/2020,Consumer Products and Services,San Diego,California,,The most technologically advanced filtration products for the modern-day vaper.  Intended for use by adults 21+ and only in areas where smoking is permitted.,
Rgenta Therapeutics,20,4/2/2020,Biotechnology,Cambridge,Massachusetts,Boehringer Ingelheim Venture Fund - Matrix Partners China ,"Rgenta Therapeutics is developing a pipeline of oral, small-molecule RNA-targeting medicines with an initial focus on oncology and neurological disorders.",
Phantom Ai,22,4/2/2020,Industrial and energy,Burlingame,California,,"Phantom AI’s mission is to democratize the use of advanced driver-assistance systems (ADAS) to reduce accidents, save lives and make driving more enjoyable, while delivering tomorrow’s self-driving technology. ",
Sportsedtv,3,4/3/2020,Media and entertainment,Miami,Florida,,"SportsEdTV exists to help athletes, coaches and parents LEARN, WIN and CELEBRATE. We don't expect everyone who uses our learning tools to become a world champion - that's not our mission",
